ma_length,key_value,adaptive_atr_mult,tp1_rr_long,tp1_percent,return,sharpe,max_dd,win_rate,trades,profit_factor
250,1.5,2.0,0.5,45,43.18523816398619,1.622947626272577,-9.802493745553464,67.16417910447761,67,2.861024233605757
250,1.5,2.0,0.5,35,42.83333266612895,1.598506305834408,-9.73933660709223,67.16417910447761,67,2.861024233605757
250,1.5,2.0,0.5,25,41.40070946022692,1.5458137051218868,-9.918923685524362,67.16417910447761,67,2.861024233605757
250,2.0,2.0,1.5,25,41.19759566724729,1.3485169597955071,-9.566847798041977,68.08510638297872,47,3.049375810649378
250,2.0,2.0,1.5,45,40.93456427507894,1.359356513914355,-9.578386641485748,68.08510638297872,47,3.049375810649378
250,2.0,2.0,1.5,35,40.766458365273685,1.3459652355010256,-9.63299034795292,68.08510638297872,47,3.049375810649378
250,2.0,2.0,0.5,25,39.133291251048504,1.4761292188820347,-9.705833033037193,68.85245901639344,61,2.8041995588801623
250,2.0,2.0,0.5,35,38.263533930598676,1.4872121276448091,-9.704262291563015,68.85245901639344,61,2.8041995588801623
200,1.5,2.0,0.5,45,38.2041311027528,1.4908186887669577,-9.724444620895767,66.17647058823529,68,2.645863267234594
250,1.5,2.0,1.5,25,38.15463387490411,1.3145942933127444,-11.523106473148637,65.38461538461539,52,2.8357342904600085
250,1.5,2.0,1.5,35,37.952707840781095,1.3146215477481817,-11.625716621807424,65.38461538461539,52,2.8357342904600085
250,1.5,2.0,1.5,45,37.76932671161545,1.317563574972703,-11.634700262779074,65.38461538461539,52,2.8357342904600085
250,2.0,2.0,0.5,45,37.580769233806095,1.497419882714703,-9.697050359175229,68.85245901639344,61,2.8041995588801623
150,1.5,2.0,1.5,45,36.36763221577017,1.263690558010186,-11.492811770247213,63.63636363636363,55,2.469486110632439
200,1.5,2.0,0.5,35,36.35302456320409,1.4374960630899094,-9.75757116404139,66.17647058823529,68,2.645863267234594
200,2.0,2.0,1.5,45,36.30223679398677,1.2467244867315972,-9.536898472016532,66.66666666666666,48,2.8129428930096143
150,1.5,2.0,1.5,35,36.14588207491622,1.2497345353085003,-11.416103765392815,63.63636363636363,55,2.469486110632439
200,2.0,2.0,1.5,35,36.04957352879121,1.2328463766322917,-9.711637559082808,66.66666666666666,48,2.8129428930096143
150,1.5,2.0,1.5,25,35.78043102588976,1.2300485382429271,-11.339507198479948,63.63636363636363,55,2.469486110632439
